ref,alt_red,app_recv,app_val,add,proposal,status
25/0164/FUL,PP-13695464,Fri 17 Jan 2025,Fri 17 Jan 2025,205 Deansbrook Road Edgware HA8 9BU,Conversion of existing maisonette on the upper floors to two self-contained residential units. Associated refuse/recycling and cycle storage,Pending Consideration
25/0163/FUL,PP-13698670,Thu 16 Jan 2025,Fri 17 Jan 2025,Land To Rear Of Norfolk Court 31-32 Manor Road Barnet EN5,"Demolition of existing garages and erection of 2no. single storey semi-detached dwellinghouses. Associated amenity space, off-street parking, refuse and cycle storage",Pending Consideration
25/0140/FUL,PP-13687455,Wed 15 Jan 2025,Wed 15 Jan 2025,St Andrews Church Of England Church Lynford Gardens Edgware HA8 8TZ,Conversion of existing storage area including a single storey front infill extension and new pitched roof to provide additional floorspace for existing pre-school,Pending Consideration
25/0115/FUL,PP-13683507,Tue 14 Jan 2025,Wed 15 Jan 2025,1 Richmond Road London N2 8JT,Roof extension involving rear dormer window and 2no. front facing rooflights,Pending Consideration
25/0103/FUL,PP-13675984,Mon 13 Jan 2025,Tue 14 Jan 2025,Ground Floor Flat 35 Station Road London N3 2SB,Single storey rear extensions,Pending Consideration
25/0112/FUL,PP-13688742,Mon 13 Jan 2025,Mon 13 Jan 2025,1 Charcot Road London NW9 5HG,Change of use of the ground floor from a restaurant Class E(b) to a retail shop Class E(a),Pending Consideration
25/0105/FUL,PP-13674046,Mon 13 Jan 2025,Mon 13 Jan 2025,Flat 1 St Hildas Mount 82 Marsh Lane London NW7 4NX,Single storey rear conservatory extension and alterations to existing single storey rear roof,Pending Consideration
25/0109/FUL,PP-13645465,Mon 13 Jan 2025,Tue 14 Jan 2025,14 Southbourne Crescent London NW4 2JY,Erection of a self-contained annexe to the rear garden,Pending Consideration
25/0091/FUL,PP-13686451,Mon 13 Jan 2025,Mon 13 Jan 2025,Tennis Club 100 Oakleigh Road North London N20 9EZ,Demolition of single storey swimming pool building and the construction of one outdoor multi use rackets court including installation of new perimeter fencing and associated works,Pending Consideration
25/0110/FUL,PP-13684985,Mon 13 Jan 2025,Mon 13 Jan 2025,Rear Of 39 Alexandra Road London NW4 2SB,"Demolition of existing building and the erection of part single, part two storey building including the installation of a parking turntable",Pending Consideration
